bhsa_node	g_cons	macula_nodes	mt_cons_1	mt_cons_2	mt_cons_3	mt_cons_4
1	B	1	B			
2	R>CJT	2	R>CJT			
3	BR>	3	BR>			
4	>LHJM	4	>LHJM			
5	>T	5	>T			
6	H	6	H			
7	CMJM	7	CMJM			
8	W	8	W			
9	>T	9	>T			
10	H	10	H			
11	>RY	11	>RY			
12	W	12	W			
13	H	13	H			
14	>RY	14	>RY			
15	HJTH	15	HJTH			
16	THW	16	THW			
17	W	17	W			
18	BHW	18	BHW			
19	W	19	W			
20	XCK	20	XCK			
21	<L	21	<L			
22	PNJ	22	PNJ			
23	THWM	23	THWM			
24	W	24	W			
25	RWX	25	RWX			
26	>LHJM	26	>LHJM			
27	MRXPT	27	MRXPT			
28	<L	28	<L			
29	PNJ	29	PNJ			
30	H	30	H			
31	MJM	31	MJM			
32	W	32	W			
33	J>MR	33	J>MR			
34	>LHJM	34	>LHJM			
35	JHJ	35	JHJ			
36	>WR	36	>WR			
37	W	37	W			
38	JHJ	38	JHJ			
39	>WR	39	>WR			
40	W	40	W			
41	JR>	41	JR>			
42	>LHJM	42	>LHJM			
43	>T	43	>T			
44	H	44	H			
45	>WR	45	>WR			
46	KJ	46	KJ			
47	VWB	47	VWB			
48	W	48	W			
49	JBDL	49	JBDL			
50	>LHJM	50	>LHJM			
51	BJN	51	BJN			
52	H	52	H			
53	>WR	53	>WR			
54	W	54	W			
55	BJN	55	BJN			
56	H	56	H			
57	XCK	57	XCK			
58	W	58	W			
59	JQR>	59	JQR>			
60	>LHJM	60	>LHJM			
61	L	61	L			
63	>WR	63	>WR			
64	JWM	64	JWM			
65	W	65	W			
66	L	66	L			
68	XCK	68	XCK			
69	QR>	69	QR>			
70	LJLH	70	LJLH			
71	W	71	W			
72	JHJ	72	JHJ			
73	<RB	73	<RB			
74	W	74	W			
75	JHJ	75	JHJ			
76	BQR	76	BQR			
77	JWM	77	JWM			
78	>XD	78	>XD			
79	W	79	W			
80	J>MR	80	J>MR			
81	>LHJM	81	>LHJM			
82	JHJ	82	JHJ			
83	RQJ<	83	RQJ<			
84	B	84	B			
85	TWK	85	TWK			
86	H	86	H			
87	MJM	87	MJM			
88	W	88	W			
89	JHJ	89	JHJ			
90	MBDJL	90	MBDJL			
91	BJN	91	BJN			
92	MJM	92	MJM			
93	L	93	L			
94	MJM	94	MJM			
95	W	95	W			
96	J<F	96	J<F			
97	>LHJM	97	>LHJM			
98	>T	98	>T			
99	H	99	H			
100	RQJ<	100	RQJ<			
101	W	101	W			
102	JBDL	102	JBDL			
103	BJN	103	BJN			
104	H	104	H			
105	MJM	105	MJM			
106	>CR	106	>CR			
107	M	107	M			
108	TXT	108	TXT			
109	L	109	L			
111	RQJ<	111	RQJ<			
112	W	112	W			
113	BJN	113	BJN			
114	H	114	H			
115	MJM	115	MJM			
116	>CR	116	>CR			
117	M	117	M			
118	<L	118	<L			
119	L	119	L			
121	RQJ<	121	RQJ<			
122	W	122	W			
123	JHJ	123	JHJ			
124	KN	124	KN			
125	W	125	W			
126	JQR>	126	JQR>			
127	>LHJM	127	>LHJM			
128	L	128	L			
130	RQJ<	130	RQJ<			
131	CMJM	131	CMJM			
132	W	132	W			
133	JHJ	133	JHJ			
134	<RB	134	<RB			
135	W	135	W			
136	JHJ	136	JHJ			
137	BQR	137	BQR			
138	JWM	138	JWM			
139	CNJ	139	CNJ			
140	W	140	W			
141	J>MR	141	J>MR			
142	>LHJM	142	>LHJM			
143	JQWW	143	JQWW			
144	H	144	H			
145	MJM	145	MJM			
146	M	146	M			
147	TXT	147	TXT			
148	H	148	H			
149	CMJM	149	CMJM			
150	>L	150	>L			
151	MQWM	151	MQWM			
152	>XD	152	>XD			
153	W	153	W			
154	TR>H	154	TR>H			
155	H	155	H			
156	JBCH	156	JBCH			
157	W	157	W			
158	JHJ	158	JHJ			
159	KN	159	KN			
160	W	160	W			
161	JQR>	161	JQR>			
162	>LHJM	162	>LHJM			
163	L	163	L			
165	JBCH	165	JBCH			
166	>RY	166	>RY			
167	W	167	W			
168	L	168	L			
169	MQWH	169	MQWH			
170	H	170	H			
171	MJM	171	MJM			
172	QR>	172	QR>			
173	JMJM	173	JMJM			
174	W	174	W			
175	JR>	175	JR>			
176	>LHJM	176	>LHJM			
177	KJ	177	KJ			
178	VWB	178	VWB			
179	W	179	W			
180	J>MR	180	J>MR			
181	>LHJM	181	>LHJM			
182	TDC>	182	TDC>			
183	H	183	H			
184	>RY	184	>RY			
185	DC>	185	DC>			
186	<FB	186	<FB			
187	MZRJ<	187	MZRJ<			
188	ZR<	188	ZR<			
189	<Y	189	<Y			
190	PRJ	190	PRJ			
191	<FH	191	<FH			
192	PRJ	192	PRJ			
193	L	193	L			
194	MJNW	194|195	MJN	W		
195	>CR	196	>CR			
196	ZR<W	197|198	ZR<	W		
197	BW	199|200	B	W		
198	<L	201	<L			
199	H	202	H			
200	>RY	203	>RY			
201	W	204	W			
202	JHJ	205	JHJ			
203	KN	206	KN			
204	W	207	W			
205	TWY>	208	TWY>			
206	H	209	H			
207	>RY	210	>RY			
208	DC>	211	DC>			
209	<FB	212	<FB			
210	MZRJ<	213	MZRJ<			
211	ZR<	214	ZR<			
212	L	215	L			
213	MJNHW	216|217	MJN	HW		
214	W	218	W			
215	<Y	219	<Y			
216	<FH	220	<FH			
217	PRJ	221	PRJ			
218	>CR	222	>CR			
219	ZR<W	223|224	ZR<	W		
